interaction_id,event_timestamp,user_id,session_id,event_id,interaction_type,swipe_direction,liked,recommendation_context,segmento,genero,subgenero,ciudad,precio_min,precio_max,fecha_evento,recinto_id,ingestion_timestamp,dwell_ms,home_city,synthetic_persona,days_until_event,price_mid
int_0018147,2026-01-02T09:14:16+00:00,user_0179,user_0179_session_010,evt_00929,swipe,right,true,swipe,Music,Electronic,House,Bilbao,72.0,88.0,2026-01-13,bilbao_abando_arena,2026-01-02T09:30:16+00:00,5043,Valencia,electronic_night_explorer,11,80.0
int_0023787,2026-01-02T09:31:13+00:00,user_0231,user_0231_session_020,evt_00300,swipe,right,true,swipe,Sports,Football,International_Friendly,Barcelona,99.0,121.0,2026-04-19,barcelona_diagonal_arena,2026-01-02T10:18:13+00:00,3017,Sevilla,broad_discovery_flexible,107,110.0
int_0011256,2026-01-02T09:35:27+00:00,user_0110,user_0110_session_002,evt_00179,swipe,right,true,chat,Family,Kids,Interactive_Show,Madrid,10.0,42.0,2026-03-13,madrid_river_stage,2026-01-02T09:57:27+00:00,5928,Madrid,arts_culture_local,70,26.0
int_0013956,2026-01-02T09:39:13+00:00,user_0139,user_0139_session_016,evt_00668,swipe,left,false,swipe,Family,Exhibition,Immersive,Valencia,10.0,28.0,2026-04-17,valencia_ciutat_arena,2026-01-02T10:31:13+00:00,500,Malaga,family_weekend_local,105,19.0
int_0001279,2026-01-02T09:40:16+00:00,user_0012,user_0012_session_007,evt_00612,swipe,left,false,swipe,Arts_Theatre,Classical,Symphonic,Valencia,27.0,57.0,2026-04-20,valencia_ciutat_arena,2026-01-02T10:31:16+00:00,1160,Barcelona,music_local_budget,108,42.0
int_0013922,2026-01-02T09:48:48+00:00,user_0139,user_0139_session_010,evt_00874,swipe,left,false,swipe,Family,Circus,Family_Circus,Sevilla,14.0,26.0,2026-02-09,sevilla_alameda_club,2026-01-02T10:36:48+00:00,500,Malaga,family_weekend_local,38,20.0
int_0009831,2026-01-02T09:54:14+00:00,user_0095,user_0095_session_006,evt_00586,swipe,right,true,swipe,Arts_Theatre,Musical,Local_Musical,Valencia,42.0,66.0,2026-02-07,valencia_ciutat_arena,2026-01-02T10:14:14+00:00,8402,Madrid,arts_culture_local,36,54.0
int_0005260,2026-01-02T09:58:13+00:00,user_0048,user_0048_session_003,evt_00475,swipe,left,false,swipe,Music,Pop,Latin_Pop,Valencia,47.0,83.0,2026-03-14,valencia_mediterraneo_hall,2026-01-02T10:43:13+00:00,427,Madrid,sports_travel_premium,71,65.0
int_0011673,2026-01-02T10:01:49+00:00,user_0114,user_0114_session_009,evt_00858,swipe,left,false,swipe,Family,Kids,Storytelling,Sevilla,8.0,33.0,2026-02-15,sevilla_alameda_club,2026-01-02T10:24:49+00:00,974,Malaga,arts_culture_local,44,20.5
int_0010939,2026-01-02T10:11:17+00:00,user_0106,user_0106_session_012,evt_00268,swipe,right,true,swipe,Music,Electronic,Techno,Barcelona,47.0,65.0,2026-04-12,barcelona_diagonal_arena,2026-01-02T10:46:17+00:00,8597,Madrid,arts_culture_local,100,56.0
int_0024077,2026-01-02T10:14:05+00:00,user_0234,user_0234_session_011,evt_00900,swipe,left,false,swipe,Music,Rock,Indie_Rock,Bilbao,50.0,62.0,2026-04-13,bilbao_arenal_stage,2026-01-02T10:22:05+00:00,1285,Barcelona,broad_discovery_flexible,101,56.0
int_0018381,2026-01-02T10:15:49+00:00,user_0181,user_0181_session_012,evt_01161,swipe,right,true,swipe,Music,Electronic,Techno,Malaga,56.0,80.0,2026-01-13,malaga_malaga_forum,2026-01-02T11:01:49+00:00,4885,Bilbao,electronic_night_explorer,11,68.0
int_0007574,2026-01-02T10:20:06+00:00,user_0071,user_0071_session_013,evt_00993,swipe,right,true,swipe,Sports,Tennis,ATP,Bilbao,65.0,95.0,2026-01-12,bilbao_abando_arena,2026-01-02T10:58:06+00:00,7580,Malaga,sports_travel_premium,10,80.0
int_0012464,2026-01-02T10:33:16+00:00,user_0123,user_0123_session_012,evt_01099,swipe,left,false,chat,Family,Circus,Family_Circus,Bilbao,29.0,51.0,2026-03-14,bilbao_abando_arena,2026-01-02T11:22:16+00:00,332,Sevilla,family_weekend_local,71,40.0
int_0009751,2026-01-02T10:34:57+00:00,user_0094,user_0094_session_008,evt_00329,swipe,left,false,swipe,Sports,Tennis,Exhibition,Barcelona,82.0,102.0,2026-01-12,barcelona_montjuic_hall,2026-01-02T11:01:57+00:00,683,Barcelona,arts_culture_local,10,92.0
int_0006143,2026-01-02T10:41:11+00:00,user_0057,user_0057_session_006,evt_00194,swipe,right,true,swipe,Family,Circus,Acrobatic,Madrid,8.0,40.0,2026-02-14,madrid_distrito_club,2026-01-02T11:18:11+00:00,4091,Bilbao,sports_travel_premium,43,24.0
int_0000956,2026-01-02T10:49:22+00:00,user_0009,user_0009_session_013,evt_01026,swipe,left,false,swipe,Arts_Theatre,Musical,Broadway,Bilbao,36.0,64.0,2026-02-10,bilbao_arenal_stage,2026-01-02T11:12:22+00:00,594,Malaga,music_local_budget,39,50.0
int_0004060,2026-01-02T11:02:13+00:00,user_0036,user_0036_session_004,evt_01241,swipe,left,false,swipe,Arts_Theatre,Theatre,Contemporary,Malaga,33.0,59.0,2026-01-10,malaga_malaga_forum,2026-01-02T11:23:13+00:00,2228,Malaga,music_local_budget,8,46.0
int_0013093,2026-01-02T11:04:46+00:00,user_0130,user_0130_session_007,evt_00172,swipe,right,true,swipe,Arts_Theatre,Classical,Chamber,Madrid,38.0,64.0,2026-04-13,madrid_distrito_club,2026-01-02T11:36:46+00:00,5176,Madrid,family_weekend_local,101,51.0
int_0005204,2026-01-02T11:13:45+00:00,user_0047,user_0047_session_009,evt_00385,swipe,left,false,swipe,Arts_Theatre,Classical,Symphonic,Barcelona,41.0,55.0,2026-01-10,barcelona_montjuic_hall,2026-01-02T12:08:45+00:00,2261,Madrid,sports_travel_premium,8,48.0
int_0020108,2026-01-02T11:30:51+00:00,user_0195,user_0195_session_008,evt_00297,swipe,left,false,swipe,Sports,Football,International_Friendly,Barcelona,83.0,117.0,2026-01-12,barcelona_montjuic_hall,2026-01-02T12:21:51+00:00,1528,Madrid,electronic_night_explorer,10,100.0
