user_id,home_city,synthetic_persona,target_activity,target_price,price_tolerance,lead_mean,lead_tolerance,city_loyalty,context_chat_share,dwell_multiplier,exploration_factor,like_bias
user_0001,Barcelona,music_local_budget,115,44.0,25.0,19.0,18.0,0.931536,0.106479,0.968352,0.196639,0.092643
user_0002,Malaga,music_local_budget,123,32.0,23.0,22.0,18.0,0.826538,0.132257,0.971403,0.150683,0.129279
user_0003,Sevilla,music_local_budget,110,33.0,25.0,21.0,10.0,0.861891,0.109426,1.036071,0.12771,0.084103
user_0004,Madrid,music_local_budget,126,35.0,26.0,16.0,12.0,0.922097,0.09703,0.934413,0.19924,0.111965
user_0005,Bilbao,music_local_budget,100,44.0,26.0,22.0,13.0,0.862751,0.110816,0.920967,0.197977,0.079108
user_0006,Barcelona,music_local_budget,97,33.0,24.0,25.0,17.0,0.870175,0.105201,1.005756,0.195796,0.097792
user_0007,Bilbao,music_local_budget,117,38.0,32.0,23.0,16.0,0.872262,0.135525,0.988983,0.197352,0.117165
user_0008,Bilbao,music_local_budget,101,39.0,23.0,17.0,13.0,0.854427,0.117765,1.007214,0.129957,0.094952
user_0009,Malaga,music_local_budget,109,42.0,24.0,16.0,16.0,0.865394,0.0973,0.984629,0.163419,0.089407
user_0010,Sevilla,music_local_budget,127,46.0,29.0,19.0,11.0,0.837845,0.12031,1.064079,0.120926,0.097245
user_0011,Bilbao,music_local_budget,118,38.0,27.0,18.0,16.0,0.927843,0.148177,0.984989,0.151067,0.120831
user_0012,Barcelona,music_local_budget,125,34.0,29.0,22.0,16.0,0.865653,0.149128,0.949884,0.116568,0.111316
user_0013,Barcelona,music_local_budget,127,35.0,33.0,21.0,18.0,0.935535,0.145463,1.034635,0.136346,0.106762
user_0014,Valencia,music_local_budget,110,45.0,25.0,25.0,11.0,0.850595,0.14088,1.064406,0.196794,0.077263
user_0015,Malaga,music_local_budget,102,36.0,24.0,16.0,11.0,0.888348,0.087507,1.007412,0.203811,0.128983
user_0016,Valencia,music_local_budget,94,35.0,31.0,22.0,15.0,0.931335,0.128865,1.069017,0.202956,0.090556
user_0017,Bilbao,music_local_budget,136,36.0,26.0,19.0,12.0,0.857466,0.091512,1.03068,0.17891,0.100185
user_0018,Barcelona,music_local_budget,125,43.0,29.0,19.0,10.0,0.820118,0.1093,1.067241,0.200384,0.098661
user_0019,Sevilla,music_local_budget,108,40.0,31.0,17.0,15.0,0.874424,0.128279,0.974587,0.157953,0.082961
user_0020,Barcelona,music_local_budget,140,33.0,26.0,15.0,13.0,0.909568,0.10413,0.964091,0.202458,0.08623
user_0021,Madrid,music_local_budget,119,41.0,28.0,25.0,12.0,0.87066,0.098834,1.056089,0.145479,0.08036
user_0022,Valencia,music_local_budget,113,39.0,33.0,21.0,16.0,0.911222,0.148015,1.050743,0.186088,0.081668
user_0023,Sevilla,music_local_budget,116,34.0,24.0,21.0,10.0,0.930795,0.101042,0.947606,0.167215,0.12898
user_0024,Barcelona,music_local_budget,101,41.0,28.0,25.0,17.0,0.845921,0.083787,0.948894,0.157755,0.105496
user_0025,Sevilla,music_local_budget,121,39.0,27.0,15.0,12.0,0.832842,0.139673,1.032474,0.189775,0.076433
user_0026,Madrid,music_local_budget,96,48.0,24.0,16.0,12.0,0.862481,0.112236,0.951416,0.141734,0.093572
user_0027,Valencia,music_local_budget,127,44.0,27.0,20.0,14.0,0.864872,0.114029,0.951411,0.182718,0.08078
