cluster_id,segmento,genero,subgenero,total_swipes,right_swipes,right_swipe_rate,global_right_swipe_rate,affinity_lift_vs_global,share_of_cluster_right_swipes,cluster_affinity_rank
0,Music,Electronic,House,495,286,0.577778,0.462772,1.248515,0.066496,1
0,Music,Rock,Indie_Rock,486,278,0.572016,0.459459,1.244977,0.064636,2
0,Music,Urban,Hip_Hop,505,295,0.584158,0.471478,1.238993,0.068589,3
0,Music,Electronic,Techno,513,282,0.549708,0.445652,1.23349,0.065566,4
0,Music,Pop,Latin_Pop,531,311,0.585687,0.476404,1.229391,0.072309,5
0,Music,Pop,Mainstream_Pop,499,268,0.537074,0.443114,1.212046,0.062311,6
0,Music,Urban,Trap,493,281,0.56998,0.470379,1.211745,0.065334,7
0,Music,Rock,Alternative_Rock,531,305,0.574388,0.474912,1.209461,0.070914,8
0,Family,Exhibition,Immersive,286,92,0.321678,0.32106,1.001925,0.02139,9
0,Sports,Basketball,EuroLeague,312,119,0.38141,0.398485,0.957151,0.027668,10
0,Arts_Theatre,Comedy,Improvised,355,120,0.338028,0.35894,0.941739,0.0279,11
0,Arts_Theatre,Theatre,Drama,327,124,0.379205,0.416332,0.910823,0.028831,12
0,Arts_Theatre,Classical,Chamber,323,109,0.337461,0.376694,0.895851,0.025343,13
0,Family,Kids,Interactive_Show,279,89,0.318996,0.358346,0.890191,0.020693,14
0,Arts_Theatre,Comedy,Stand_Up,364,130,0.357143,0.403509,0.885093,0.030226,15
0,Family,Circus,Family_Circus,284,86,0.302817,0.351551,0.861374,0.019995,16
0,Family,Circus,Acrobatic,304,88,0.289474,0.337553,0.857566,0.02046,17
0,Family,Kids,Storytelling,302,92,0.304636,0.35806,0.850795,0.02139,18
0,Arts_Theatre,Musical,Broadway,322,109,0.338509,0.402778,0.840437,0.025343,19
0,Arts_Theatre,Classical,Symphonic,364,125,0.343407,0.413386,0.830717,0.029063,20
0,Arts_Theatre,Theatre,Contemporary,362,119,0.328729,0.399748,0.822342,0.027668,21
0,Arts_Theatre,Musical,Local_Musical,327,101,0.308869,0.377205,0.818835,0.023483,22
0,Sports,Football,La_Liga,228,70,0.307018,0.376432,0.815599,0.016275,23
0,Sports,Basketball,ACB,325,100,0.307692,0.378655,0.812593,0.02325,24
0,Family,Exhibition,Science,267,83,0.310861,0.385113,0.807195,0.019298,25
0,Sports,Tennis,ATP,269,88,0.327138,0.419192,0.7804,0.02046,26
0,Sports,Tennis,Exhibition,288,84,0.291667,0.388106,0.751512,0.01953,27
0,Sports,Football,International_Friendly,255,67,0.262745,0.386435,0.67992,0.015578,28
1,Family,Exhibition,Science,175,109,0.622857,0.385113,1.617335,0.097061,1
1,Family,Kids,Storytelling,185,99,0.535135,0.35806,1.494541,0.088157,2
1,Family,Circus,Acrobatic,202,99,0.490099,0.337553,1.451918,0.088157,3
1,Family,Exhibition,Immersive,179,82,0.458101,0.32106,1.426836,0.073019,4
1,Family,Circus,Family_Circus,186,92,0.494624,0.351551,1.406976,0.081923,5
1,Family,Kids,Interactive_Show,183,90,0.491803,0.358346,1.372425,0.080142,6
1,Arts_Theatre,Theatre,Contemporary,120,43,0.358333,0.399748,0.896399,0.03829,7
1,Arts_Theatre,Theatre,Drama,128,47,0.367188,0.416332,0.881958,0.041852,8
1,Arts_Theatre,Comedy,Improvised,135,42,0.311111,0.35894,0.866749,0.0374,9
1,Arts_Theatre,Comedy,Stand_Up,139,47,0.338129,0.403509,0.837973,0.041852,10
1,Arts_Theatre,Classical,Symphonic,115,39,0.33913,0.413386,0.820373,0.034728,11
1,Arts_Theatre,Classical,Chamber,113,29,0.256637,0.376694,0.681289,0.025824,12
1,Arts_Theatre,Musical,Local_Musical,109,26,0.238532,0.377205,0.632368,0.023152,13
1,Sports,Basketball,ACB,76,18,0.236842,0.378655,0.625483,0.016028,14
1,Music,Urban,Trap,93,25,0.268817,0.470379,0.57149,0.022262,15
1,Music,Pop,Mainstream_Pop,101,25,0.247525,0.443114,0.558603,0.022262,16
1,Music,Rock,Indie_Rock,96,24,0.25,0.459459,0.544118,0.021371,17
1,Music,Pop,Latin_Pop,103,26,0.252427,0.476404,0.529859,0.023152,18
1,Sports,Tennis,Exhibition,73,14,0.191781,0.388106,0.494145,0.012467,19
1,Music,Electronic,House,99,22,0.222222,0.462772,0.480198,0.01959,20
1,Music,Rock,Alternative_Rock,97,22,0.226804,0.474912,0.47757,0.01959,21
1,Arts_Theatre,Musical,Broadway,89,17,0.191011,0.402778,0.474235,0.015138,22
1,Sports,Basketball,EuroLeague,80,15,0.1875,0.398485,0.470532,0.013357,23
1,Music,Urban,Hip_Hop,115,24,0.208696,0.471478,0.442641,0.021371,24
1,Music,Electronic,Techno,71,14,0.197183,0.445652,0.44246,0.012467,25
1,Sports,Football,International_Friendly,71,12,0.169014,0.386435,0.437367,0.010686,26
