user_id,home_city,synthetic_persona,cluster_id,distance_to_centroid,distance_to_next_centroid,total_swipes_90d,right_swipe_rate_90d,local_like_rate_90d,avg_price_mid_liked_90d
user_0001,Barcelona,music_local_budget,0,4.073154,6.004644,95.0,0.4,0.236842,50.447368
user_0002,Malaga,music_local_budget,0,5.402067,7.414002,111.0,0.405405,0.311111,47.733333
user_0003,Sevilla,music_local_budget,0,5.179255,5.810458,88.0,0.397727,0.171429,50.385714
user_0004,Madrid,music_local_budget,0,4.951752,6.645956,112.0,0.375,0.261905,50.428571
user_0005,Bilbao,music_local_budget,0,4.93437,6.11916,86.0,0.395349,0.264706,50.897059
user_0006,Barcelona,music_local_budget,0,5.523978,6.88565,88.0,0.443182,0.307692,55.589744
user_0007,Bilbao,music_local_budget,0,4.44442,6.594587,98.0,0.418367,0.317073,49.560976
user_0008,Bilbao,music_local_budget,0,6.425029,6.642941,85.0,0.4,0.117647,49.941176
user_0009,Malaga,music_local_budget,0,6.543967,6.651879,88.0,0.363636,0.3125,51.71875
user_0010,Sevilla,music_local_budget,0,4.715466,6.566888,106.0,0.45283,0.1875,54.6875
user_0011,Bilbao,music_local_budget,0,4.940559,6.753143,100.0,0.46,0.217391,56.108696
user_0012,Barcelona,music_local_budget,0,3.855587,6.01988,104.0,0.355769,0.189189,53.054054
user_0013,Barcelona,music_local_budget,0,5.212489,7.007371,105.0,0.371429,0.282051,49.358974
user_0014,Valencia,music_local_budget,0,5.967743,7.678356,90.0,0.422222,0.131579,51.763158
user_0015,Malaga,music_local_budget,0,6.560024,7.569769,88.0,0.443182,0.358974,51.141026
user_0016,Valencia,music_local_budget,0,6.273824,6.912301,78.0,0.371795,0.172414,49.931034
user_0017,Bilbao,music_local_budget,0,4.096071,6.291845,108.0,0.444444,0.270833,50.8125
user_0018,Barcelona,music_local_budget,0,4.018043,6.073603,106.0,0.367925,0.333333,53.75641
user_0019,Sevilla,music_local_budget,0,4.721871,5.212094,97.0,0.360825,0.285714,49.385714
user_0020,Barcelona,music_local_budget,0,4.92578,7.207453,114.0,0.394737,0.311111,49.355556
user_0021,Madrid,music_local_budget,0,5.514992,7.072348,104.0,0.384615,0.2,51.3
user_0022,Valencia,music_local_budget,0,3.832442,5.139455,95.0,0.410526,0.128205,48.064103
user_0024,Barcelona,music_local_budget,0,4.862601,7.038245,88.0,0.397727,0.2,52.771429
user_0025,Sevilla,music_local_budget,0,2.97796,5.693741,104.0,0.423077,0.227273,55.477273
user_0026,Madrid,music_local_budget,0,6.307344,6.558432,87.0,0.310345,0.185185,49.740741
user_0027,Valencia,music_local_budget,0,3.897115,6.355466,115.0,0.434783,0.32,48.55
user_0028,Valencia,music_local_budget,0,4.974825,5.744891,80.0,0.3875,0.322581,49.419355
user_0029,Barcelona,music_local_budget,0,4.226016,6.403371,112.0,0.428571,0.270833,52.21875
user_0030,Sevilla,music_local_budget,0,5.859485,7.244928,108.0,0.37037,0.35,50.75
user_0031,Bilbao,music_local_budget,0,3.87268,5.65812,116.0,0.413793,0.291667,49.03125
user_0032,Sevilla,music_local_budget,0,4.017061,6.752159,109.0,0.40367,0.181818,49.863636
user_0033,Barcelona,music_local_budget,0,4.817743,5.581744,89.0,0.382022,0.235294,50.147059
user_0034,Valencia,music_local_budget,0,4.751705,5.263024,105.0,0.342857,0.25,47.097222
user_0035,Barcelona,music_local_budget,0,4.801224,5.817917,76.0,0.421053,0.25,53.125
user_0036,Malaga,music_local_budget,0,4.109309,5.892752,104.0,0.355769,0.243243,48.594595
user_0037,Barcelona,music_local_budget,0,3.679312,5.285078,105.0,0.457143,0.270833,55.6875
user_0038,Bilbao,music_local_budget,0,3.976267,5.887258,100.0,0.43,0.162791,52.465116
user_0039,Madrid,music_local_budget,0,4.845297,6.354451,83.0,0.349398,0.172414,52.655172
