user_id,home_city,synthetic_persona,total_swipes_30d,total_right_swipes_30d,right_swipe_rate_30d,avg_dwell_ms_30d,avg_right_dwell_ms_30d,distinct_segments_liked_30d,distinct_genres_liked_30d,distinct_cities_liked_30d,local_like_rate_30d,local_swipe_share_30d,avg_days_until_event_liked_30d,avg_price_mid_liked_30d,median_price_mid_liked_30d,avg_price_mid_disliked_30d,chat_swipe_share_30d,chat_right_rate_30d,days_since_last_right_swipe_30d,like_rate_segment_music_30d,like_rate_segment_sports_30d,like_rate_segment_arts_theatre_30d,like_rate_segment_family_30d,like_rate_genre_rock_30d,like_rate_genre_pop_30d,like_rate_genre_electronic_30d,like_rate_genre_urban_30d,like_rate_genre_football_30d,like_rate_genre_basketball_30d,like_rate_genre_tennis_30d,like_rate_genre_theatre_30d,like_rate_genre_musical_30d,like_rate_genre_comedy_30d,like_rate_genre_classical_30d,like_rate_genre_kids_30d,like_rate_genre_circus_30d,like_rate_genre_exhibition_30d,total_swipes_90d,total_right_swipes_90d,right_swipe_rate_90d,avg_dwell_ms_90d,avg_right_dwell_ms_90d,distinct_segments_liked_90d,distinct_genres_liked_90d,distinct_cities_liked_90d,local_like_rate_90d,local_swipe_share_90d,avg_days_until_event_liked_90d,avg_price_mid_liked_90d,median_price_mid_liked_90d,avg_price_mid_disliked_90d,chat_swipe_share_90d,chat_right_rate_90d,days_since_last_right_swipe_90d,like_rate_segment_music_90d,like_rate_segment_sports_90d,like_rate_segment_arts_theatre_90d,like_rate_segment_family_90d,like_rate_genre_rock_90d,like_rate_genre_pop_90d,like_rate_genre_electronic_90d,like_rate_genre_urban_90d,like_rate_genre_football_90d,like_rate_genre_basketball_90d,like_rate_genre_tennis_90d,like_rate_genre_theatre_90d,like_rate_genre_musical_90d,like_rate_genre_comedy_90d,like_rate_genre_classical_90d,like_rate_genre_kids_90d,like_rate_genre_circus_90d,like_rate_genre_exhibition_90d,right_swipe_rate_delta_30_vs_90,total_swipes_delta_30_vs_90
user_0001,Barcelona,music_local_budget,46.0,23.0,0.5,3642.5,6083.26087,4.0,11.0,6.0,0.304348,0.26087,47.826087,50.73913,53.0,55.652174,0.130435,0.5,0.0,0.578947,0.166667,0.571429,0.428571,0.333333,0.75,0.666667,0.666667,0.0,0.0,0.5,0.666667,0.666667,0.428571,1.0,0.0,0.5,1.0,95.0,38.0,0.4,3199.126316,6120.789474,4.0,13.0,6.0,0.236842,0.2,47.263158,50.447368,51.0,56.622807,0.084211,0.5,0.0,0.525,0.142857,0.347826,0.388889,0.5,0.333333,0.5,0.777778,0.0,0.333333,0.2,0.4,0.333333,0.375,0.25,0.2,0.428571,0.5,0.1,-49.0
user_0002,Malaga,music_local_budget,60.0,20.0,0.333333,2851.683333,5662.55,3.0,9.0,6.0,0.4,0.233333,45.1,44.0,45.0,49.875,0.15,0.555556,0.0,0.44,0.0,0.266667,0.294118,0.4,0.416667,0.5,0.5,0.0,0.0,0.0,0.333333,0.0,0.285714,0.333333,0.333333,0.0,0.5,111.0,45.0,0.405405,3104.162162,5563.888889,4.0,12.0,6.0,0.311111,0.189189,43.577778,47.733333,46.0,49.628788,0.135135,0.533333,0.0,0.553191,0.25,0.266667,0.346154,0.727273,0.4,0.636364,0.5,0.5,0.333333,0.0,0.166667,0.0,0.307692,0.375,0.4,0.142857,0.444444,-0.072072,-51.0
user_0003,Sevilla,music_local_budget,46.0,17.0,0.369565,3105.217391,5679.823529,4.0,8.0,6.0,0.176471,0.130435,57.117647,47.941176,43.0,50.258621,0.152174,0.285714,0.0,0.346154,0.333333,0.545455,0.166667,0.222222,0.75,0.0,0.444444,0.0,0.5,0.0,0.75,0.0,0.666667,0.333333,0.333333,0.0,0.0,88.0,35.0,0.397727,3467.840909,6281.571429,4.0,11.0,6.0,0.171429,0.170455,60.314286,50.385714,47.0,46.716981,0.113636,0.4,0.0,0.44186,0.6,0.36,0.266667,0.307692,0.777778,0.25,0.461538,1.0,0.666667,0.0,0.444444,0.0,0.333333,0.4,0.428571,0.0,0.25,-0.028162,-42.0
user_0004,Madrid,music_local_budget,53.0,23.0,0.433962,3153.188679,5659.478261,4.0,10.0,6.0,0.173913,0.150943,56.913043,50.826087,51.0,47.933333,0.09434,0.8,0.0,0.538462,0.25,0.428571,0.222222,0.5,0.833333,0.333333,0.444444,0.5,0.0,0.0,0.333333,1.0,0.25,0.5,0.5,0.0,0.0,112.0,42.0,0.375,2832.151786,5299.309524,4.0,11.0,6.0,0.261905,0.160714,49.738095,50.428571,47.0,46.442857,0.071429,0.5,0.0,0.52,0.2,0.37931,0.130435,0.647059,0.538462,0.25,0.5,0.5,0.0,0.0,0.166667,0.5,0.4,0.444444,0.181818,0.166667,0.0,0.058962,-59.0
user_0005,Bilbao,music_local_budget,42.0,15.0,0.357143,2817.047619,5302.466667,4.0,9.0,5.0,0.133333,0.190476,65.333333,49.666667,47.0,54.444444,0.095238,0.25,0.0,0.538462,0.25,0.166667,0.444444,0.75,0.5,0.0,0.5,0.0,0.25,0.25,0.0,0.4,0.0,0.0,0.5,0.4,0.5,86.0,34.0,0.395349,3073.267442,5412.088235,4.0,12.0,6.0,0.264706,0.244186,67.029412,50.897059,50.0,50.269231,0.081395,0.428571,0.0,0.578947,0.222222,0.217391,0.3125,0.9,0.454545,0.5,0.461538,0.0,0.25,0.2,0.142857,0.5,0.0,0.142857,0.5,0.285714,0.2,-0.038206,-44.0
user_0006,Barcelona,music_local_budget,49.0,20.0,0.408163,3249.020408,5698.3,4.0,8.0,5.0,0.25,0.163265,41.1,55.4,54.5,54.706897,0.061224,0.666667,0.0,0.681818,0.142857,0.214286,0.166667,0.8,0.4,0.777778,0.666667,0.0,0.0,0.5,0.4,0.0,0.0,0.5,0.5,0.0,0.0,88.0,39.0,0.443182,3434.795455,5708.025641,4.0,10.0,6.0,0.307692,0.204545,46.230769,55.589744,54.0,51.94898,0.079545,0.714286,0.0,0.615385,0.3,0.333333,0.222222,0.625,0.5,0.692308,0.6,0.333333,0.0,0.666667,0.428571,0.5,0.0,0.333333,0.666667,0.0,0.0,-0.035019,-39.0
user_0007,Bilbao,music_local_budget,44.0,20.0,0.454545,3591.75,6152.2,4.0,10.0,6.0,0.3,0.181818,58.25,52.3,49.5,47.770833,0.136364,0.5,0.0,0.590909,0.333333,0.2,0.444444,0.714286,0.25,0.833333,0.4,1.0,0.0,0.0,0.0,0.5,0.0,0.333333,0.2,1.0,0.5,98.0,41.0,0.418367,3354.632653,5899.487805,4.0,12.0,6.0,0.317073,0.193878,52.512195,49.560976,48.0,51.438596,0.142857,0.571429,0.0,0.571429,0.2,0.233333,0.5,0.714286,0.444444,0.5,0.555556,0.333333,0.0,0.2,0.0,0.375,0.222222,0.333333,0.2,0.857143,0.25,0.036178,-54.0
user_0008,Bilbao,music_local_budget,42.0,18.0,0.428571,3157.02381,5625.777778,3.0,10.0,6.0,0.222222,0.190476,63.611111,47.0,48.0,58.75,0.095238,0.5,1.0,0.6,0.0,0.272727,0.75,0.6,0.5,0.666667,0.625,0.0,0.0,0.0,0.333333,0.0,0.333333,0.333333,1.0,1.0,0.5,85.0,34.0,0.4,3091.2,5719.588235,4.0,11.0,6.0,0.117647,0.129412,63.911765,49.941176,51.5,58.745098,0.094118,0.375,1.0,0.605263,0.071429,0.136364,0.636364,0.666667,0.625,0.6,0.545455,0.25,0.0,0.0,0.166667,0.0,0.25,0.166667,1.0,0.333333,0.714286,0.028571,-43.0
user_0009,Malaga,music_local_budget,42.0,11.0,0.261905,3089.404762,7060.636364,3.0,7.0,5.0,0.454545,0.309524,74.090909,58.272727,58.0,54.209677,0.047619,0.5,0.0,0.4,0.2,0.222222,0.0,0.5,0.428571,0.6,0.166667,0.0,0.0,0.5,0.333333,0.0,0.5,0.0,0.0,0.0,0.0,88.0,32.0,0.363636,3463.806818,6565.375,4.0,11.0,6.0,0.3125,0.25,66.46875,51.71875,52.0,53.517857,0.102273,0.555556,0.0,0.475,0.181818,0.35,0.235294,0.625,0.444444,0.583333,0.272727,0.2,0.0,0.5,0.625,0.0,0.4,0.0,0.5,0.2,0.125,-0.101732,-46.0
user_0010,Sevilla,music_local_budget,54.0,24.0,0.444444,3835.981481,6331.791667,4.0,11.0,6.0,0.083333,0.148148,62.0,55.916667,57.0,48.25,0.12963,0.571429,0.0,0.736842,0.25,0.411765,0.1,0.8,1.0,0.8,0.25,0.0,0.2,1.0,0.5,1.0,0.4,0.25,0.0,0.0,0.333333,106.0,48.0,0.45283,3719.811321,6011.8125,4.0,13.0,6.0,0.1875,0.169811,50.125,54.6875,53.5,49.818966,0.141509,0.533333,0.0,0.666667,0.294118,0.433333,0.117647,0.571429,0.888889,0.666667,0.6,0.2,0.333333,0.333333,0.428571,1.0,0.444444,0.2,0.111111,0.0,0.25,-0.008386,-52.0
