user_id,home_city,synthetic_persona,cluster_id,distance_to_centroid,distance_to_next_centroid
5c3975fb-035b-4c72-9ce6-f5b54887395d,,,0,1.880322,6.893459
cba53f69-0037-4677-9812-c42bb0ab5766,,,0,1.880322,8.167771
4aed7333-4722-49e5-99ea-d005b6bbc706,,,1,2.153345,3.961119
e33f2f3a-5313-4fd0-8858-75a71bae639c,,,1,2.348978,3.609507
e5389ace-5e36-48bc-95a6-3ed2c0ea4301,,,1,3.112942,5.506576
f979f67f-81ce-43d4-9f61-e87cd092049f,,,1,4.392701,8.663916
1a4bd7e1-aa2e-4134-9dc4-341e21e58d03,,,2,2.611288,4.936954
2a7e98ee-023f-4f75-8d54-aec944128fb0,,,2,1.531693,4.307693
4b0f7bce-40dd-44e7-a81c-c6a2d410ccbb,,,2,1.505252,5.674864
cd03ac14-cb6b-45ca-83ba-4faa8e5b28dd,,,2,0.76189,4.892454
d1218c0a-a30f-4336-a429-7227c1fafce4,,,2,1.377613,5.791725
0aec7a25-3a5b-4451-98c6-b4e6e04d62b3,,,3,0.0,7.319871
