id,nombre,fecha,segmento,genero,subgenero,recinto_id,ciudad,categoria,subcategoria,banda_precio
LvZ18Q3HOZOf1kOZvUsiB,Museo Banksy Madrid,2026-04-27,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsiD,Museo Banksy Madrid,2026-04-27,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsiM,Museo Banksy Madrid,2026-04-27,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsiU,Museo Banksy Madrid,2026-04-27,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsig,Museo Banksy Madrid,2026-04-27,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsiy,Museo Banksy Madrid,2026-04-27,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsiz,Museo Banksy Madrid,2026-04-27,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18QKTxr84RtOZv8E5C,Museo Banksy Madrid,2026-04-27,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Qbc8EkDV-ZZv9oi9,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-27,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18Qbc8EkDV-ZZv9oiQ,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-27,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18Qbc8EkDV-ZZv9oi_,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-27,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18Qbc8EkDV-ZZv9oib,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-27,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18QbcdqblQFYZvhUKS,DINOLANDIA Y EL BOSQUE ENCANTADO: 2 PARQUES EN UNO,2026-04-27,Miscellaneous,Family,Other,Z598xZ2qZae6F,Madrid,Familia y otros,Parques temáticos,medio
Z698xZ2qZ1kbPpk-N,Snor,2026-04-27,Music,Rock,Pop,Z598xZ2qZFd7k,Madrid,Música,Pop/Rock,medio
LvZ18Q_UxbZJU0OZvVEE1,Antarctica Experience,2026-04-28,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_UxbZJU0OZvVEE2,Antarctica Experience,2026-04-28,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
