interaction_id,event_timestamp,user_id,session_id,event_id,interaction_type,swipe_direction,liked,recommendation_context,segmento,genero,subgenero,ciudad,precio_min,precio_max,fecha_evento,recinto_id,ingestion_timestamp,days_until_event,avg_price,is_right_swipe
int_0000001,2026-02-04 01:26:30,user_001,sess_00001,event_00207,swipe,right,True,discover,Music,Urban,Hip-Hop,Madrid,64.68,94.91,2026-05-21,venue_madrid_028,2026-02-04 01:29:02,106,79.795,1
int_0000002,2026-02-04 23:32:29,user_001,sess_00005,event_01173,swipe,right,True,discover,Music,Urban,Reggaeton,Valencia,21.88,96.22,2026-04-29,venue_valencia_051,2026-02-04 23:35:20,84,59.05,1
int_0000003,2026-02-05 07:18:02,user_001,sess_00001,event_01420,swipe,right,True,discover,Music,Electronic,Techno,Valencia,37.25,74.99,2026-08-16,venue_valencia_029,2026-02-05 07:20:55,192,56.12,1
int_0000004,2026-02-06 12:31:15,user_001,sess_00001,event_00908,swipe,right,True,discover,Music,Rock,Classic Rock,Valencia,63.48,120.07,2026-06-20,venue_valencia_062,2026-02-06 12:33:29,134,91.77499999999999,1
int_0000005,2026-02-06 22:18:16,user_001,sess_00001,event_01044,swipe,right,True,discover,Music,Jazz,Fusion,Valencia,22.65,31.43,2026-07-10,venue_valencia_062,2026-02-06 22:19:31,154,27.04,1
int_0000006,2026-02-07 13:18:51,user_001,sess_00003,event_00628,swipe,left,False,map,Sports,Football,Champions,Barcelona,63.97,133.11,2026-07-01,venue_barcelona_014,2026-02-07 13:20:46,144,98.54,0
int_0000007,2026-02-08 17:58:48,user_001,sess_00002,event_00821,swipe,left,False,discover,Arts & Theatre,Exhibition,Modern Art,Valencia,70.19,132.0,2026-06-07,venue_valencia_001,2026-02-08 18:00:31,119,101.095,0
int_0000008,2026-02-09 17:42:18,user_001,sess_00001,event_00973,swipe,right,True,discover,Music,Rock,Alternative Rock,Madrid,19.76,39.04,2026-07-14,venue_madrid_032,2026-02-09 17:43:17,155,29.4,1
int_0000009,2026-02-10 13:36:54,user_001,sess_00004,event_00302,swipe,right,True,discover,Music,Jazz,Smooth Jazz,Valencia,55.95,67.92,2026-08-18,venue_valencia_044,2026-02-10 13:38:02,189,61.935,1
int_0000010,2026-02-11 17:46:04,user_001,sess_00004,event_01093,swipe,left,False,map,Arts & Theatre,Theatre,Drama,Valencia,20.35,90.64,2026-05-21,venue_valencia_011,2026-02-11 17:46:33,99,55.495000000000005,0
int_0000011,2026-02-12 15:41:07,user_001,sess_00005,event_01182,swipe,right,True,discover,Music,Pop,Synth Pop,Valencia,74.04,122.49,2026-07-24,venue_valencia_039,2026-02-12 15:41:27,162,98.265,1
int_0000012,2026-02-13 00:20:59,user_001,sess_00004,event_01421,swipe,right,True,map,Music,Electronic,EDM,Valencia,32.69,101.68,2026-07-21,venue_valencia_057,2026-02-13 00:21:34,158,67.185,1
int_0000013,2026-02-14 11:24:49,user_001,sess_00003,event_01047,swipe,left,False,discover,Sports,Running,Half Marathon,Valencia,69.48,155.17,2026-07-16,venue_valencia_040,2026-02-14 11:28:21,152,112.32499999999999,0
int_0000014,2026-02-15 18:04:39,user_001,sess_00001,event_00706,swipe,left,False,discover,Music,Pop,Synth Pop,Valencia,73.81,85.09,2026-06-18,venue_valencia_001,2026-02-15 18:05:37,123,79.45,0
int_0000015,2026-02-17 01:31:07,user_001,sess_00002,event_00608,swipe,right,True,planner,Music,Rock,Classic Rock,Valencia,20.26,37.19,2026-08-21,venue_valencia_043,2026-02-17 01:33:30,185,28.725,1
int_0000016,2026-02-18 00:06:26,user_001,sess_00002,event_00949,swipe,right,True,map,Music,Rock,Indie Rock,Valencia,72.31,151.3,2026-06-14,venue_valencia_009,2026-02-18 00:08:06,116,111.805,1
int_0000017,2026-02-19 08:54:32,user_001,sess_00004,event_00643,swipe,left,False,discover,Music,Jazz,Big Band,Barcelona,64.02,144.78,2026-05-23,venue_barcelona_012,2026-02-19 08:56:04,93,104.4,0
int_0000018,2026-02-20 07:26:08,user_001,sess_00002,event_01360,swipe,right,True,map,Music,Jazz,Big Band,Barcelona,26.95,115.25,2026-08-17,venue_barcelona_035,2026-02-20 07:28:18,178,71.1,1
int_0000019,2026-02-20 22:34:57,user_001,sess_00005,event_00398,swipe,right,True,discover,Music,Rock,Classic Rock,Valencia,26.67,44.49,2026-08-17,venue_valencia_061,2026-02-20 22:38:28,178,35.58,1
int_0000020,2026-02-21 16:35:40,user_001,sess_00001,event_01322,swipe,left,False,discover,Family,Kids,Educational,Valencia,36.34,69.94,2026-08-10,venue_valencia_025,2026-02-21 16:36:24,170,53.14,0
int_0000021,2026-02-22 19:11:47,user_001,sess_00003,event_00245,swipe,right,True,discover,Music,Jazz,Fusion,Valencia,26.77,53.63,2026-05-15,venue_valencia_038,2026-02-22 19:14:52,82,40.2,1
