event_id,event_name,segmento,genero,subgenero,ciudad,recinto_id,recinto_nombre,precio_min,precio_max,fecha_evento
evt_00001,Rock_Indie_Rock_Madrid_1,Music,Rock,Indie_Rock,Madrid,madrid_river_stage,River_Stage,29.0,49.0,2026-01-13
evt_00002,Rock_Indie_Rock_Madrid_2,Music,Rock,Indie_Rock,Madrid,madrid_distrito_club,Distrito_Club,30.0,60.0,2026-02-13
evt_00003,Rock_Indie_Rock_Madrid_3,Music,Rock,Indie_Rock,Madrid,madrid_river_stage,River_Stage,35.0,59.0,2026-03-16
evt_00004,Rock_Indie_Rock_Madrid_4,Music,Rock,Indie_Rock,Madrid,madrid_distrito_club,Distrito_Club,30.0,50.0,2026-04-15
evt_00005,Rock_Indie_Rock_Madrid_5,Music,Rock,Indie_Rock,Madrid,madrid_river_stage,River_Stage,27.0,55.0,2026-05-18
evt_00006,Rock_Indie_Rock_Madrid_6,Music,Rock,Indie_Rock,Madrid,madrid_distrito_club,Distrito_Club,18.0,52.0,2026-06-16
evt_00007,Rock_Indie_Rock_Madrid_7,Music,Rock,Indie_Rock,Madrid,madrid_river_stage,River_Stage,38.0,64.0,2026-07-18
evt_00008,Rock_Indie_Rock_Madrid_8,Music,Rock,Indie_Rock,Madrid,madrid_distrito_club,Distrito_Club,45.0,67.0,2026-08-26
evt_00009,Rock_Alternative_Rock_Madrid_1,Music,Rock,Alternative_Rock,Madrid,madrid_river_stage,River_Stage,32.0,52.0,2026-01-11
evt_00010,Rock_Alternative_Rock_Madrid_2,Music,Rock,Alternative_Rock,Madrid,madrid_distrito_club,Distrito_Club,27.0,63.0,2026-02-12
evt_00011,Rock_Alternative_Rock_Madrid_3,Music,Rock,Alternative_Rock,Madrid,madrid_river_stage,River_Stage,42.0,54.0,2026-03-12
evt_00012,Rock_Alternative_Rock_Madrid_4,Music,Rock,Alternative_Rock,Madrid,madrid_distrito_club,Distrito_Club,44.0,58.0,2026-04-12
evt_00013,Rock_Alternative_Rock_Madrid_5,Music,Rock,Alternative_Rock,Madrid,madrid_river_stage,River_Stage,29.0,55.0,2026-05-19
evt_00014,Rock_Alternative_Rock_Madrid_6,Music,Rock,Alternative_Rock,Madrid,madrid_distrito_club,Distrito_Club,32.0,44.0,2026-06-21
evt_00015,Rock_Alternative_Rock_Madrid_7,Music,Rock,Alternative_Rock,Madrid,madrid_river_stage,River_Stage,43.0,73.0,2026-07-17
evt_00016,Rock_Alternative_Rock_Madrid_8,Music,Rock,Alternative_Rock,Madrid,madrid_distrito_club,Distrito_Club,46.0,70.0,2026-08-24
evt_00017,Pop_Mainstream_Pop_Madrid_1,Music,Pop,Mainstream_Pop,Madrid,madrid_river_stage,River_Stage,36.0,70.0,2026-01-10
evt_00018,Pop_Mainstream_Pop_Madrid_2,Music,Pop,Mainstream_Pop,Madrid,madrid_distrito_club,Distrito_Club,56.0,68.0,2026-02-10
evt_00019,Pop_Mainstream_Pop_Madrid_3,Music,Pop,Mainstream_Pop,Madrid,madrid_river_stage,River_Stage,40.0,74.0,2026-03-12
